year fp_year fp_doy Np Tp Alpha_ratio Vp V_gsm_x V_gsm_y V_gsm_z B_gsm_x B_gsm_y B_gsm_z 
BEGIN DATA
2005 2005.05224372  20.068959      0.550  6.1984e+04     0.1876    670.41   -655.76   -101.48     97.42   -6.350    2.949    1.199
2005 2005.05224575  20.069699      0.472  7.9374e+04     0.3036    665.00   -652.65    -90.46     91.80   -6.373    2.810    1.246
2005 2005.05224778  20.070440      0.487  8.9907e+04     0.2138    664.51   -651.38    -96.18     91.44   -6.415    2.652    1.447
2005 2005.05224981  20.071181      0.452  6.9345e+04     0.2301    666.72   -654.62    -92.93     87.58   -6.328    2.832    1.384
2005 2005.05225184  20.071921      0.512  8.0955e+04     0.2047    661.79   -649.60    -82.08     98.18   -6.483    2.652    0.984
2005 2005.05225387  20.072662      0.426  7.7708e+04     0.2247    662.05   -648.39    -91.54     99.51   -6.457    2.376    1.060
2005 2005.05225590  20.073403      0.476  7.8993e+04     0.2051    659.36   -646.81    -83.12     99.38   -6.454    2.390    1.127
2005 2005.05225793  20.074144      0.407  9.4521e+04     0.2421    660.35   -646.89    -85.32    103.58   -6.567    2.462    1.165
2005 2005.05225996  20.074884      0.573  6.3949e+04     0.1768    648.27   -637.79    -77.43     88.45   -6.646    1.682    1.520
2005 2005.05226199  20.075625  -9999.900 -9.9999e+03 -9999.9004  -9999.90  -9999.90  -9999.90  -9999.90   -6.564    1.844    1.169
2005 2005.05226402  20.076366      0.437  8.8714e+04     0.1999    648.11   -636.40    -73.63    100.16   -6.429    1.934    1.136
2005 2005.05226605  20.077107      0.595  6.5447e+04     0.1402    649.34   -638.79    -77.95     88.67   -6.320    1.972    1.535
2005 2005.05226807  20.077847      0.675  6.8505e+04     0.1620    644.89   -633.88    -70.73     97.33   -6.320    1.813    1.118
2005 2005.05227010  20.078588      0.566  6.8888e+04     0.1580    650.17   -639.36    -76.81     91.71   -6.219    1.846    1.625
2005 2005.05227213  20.079329      0.484  6.6318e+04     0.2057    653.68   -643.05    -81.38     86.62   -6.264    2.010    1.501
2005 2005.05227416  20.080070      0.669  7.8682e+04     0.1445    650.05   -638.16    -69.60    104.53   -6.552    2.054    1.390
2005 2005.05227619  20.080810      0.515  6.5137e+04     0.1884    644.04   -633.81    -66.41     95.22   -6.475    1.453    1.620
2005 2005.05227822  20.081551      0.598  6.7361e+04     0.1555    646.75   -635.84    -77.15     91.79   -6.391    1.857    1.488
2005 2005.05228025  20.082292      0.508  7.2848e+04     0.2152    653.07   -641.58    -82.57     91.89   -6.238    2.315    1.690
2005 2005.05228228  20.083033      0.506  8.0856e+04     0.1912    657.23   -645.28    -90.01     88.49   -6.284    2.516    1.694
2005 2005.05228431  20.083773      0.461  5.6693e+04     0.3004    653.89   -637.99   -104.18    100.49   -6.317    2.661    1.500
2005 2005.05228634  20.084514      0.582  6.4379e+04     0.1681    652.64   -636.57   -100.31    105.31   -6.340    2.549    1.121
2005 2005.05228837  20.085255      0.551  7.3177e+04     0.2280    656.49   -639.10   -106.91    107.43   -6.359    2.413    1.119
2005 2005.05229040  20.085996      0.558  8.8837e+04     0.1989    661.98   -642.84   -110.89    114.69   -6.340    2.690    0.507
2005 2005.05229243  20.086736      0.694  5.6416e+04     0.1759    673.77   -647.83    -99.31    158.54   -6.018    3.203   -0.879
2005 2005.05229446  20.087477      0.467  8.1983e+04     0.2042    669.82   -651.32   -115.19    107.82   -6.093    3.001   -0.052
2005 2005.05229649  20.088218      0.477  6.3199e+04     0.2443    676.00   -648.18   -102.76    164.44   -5.993    3.193   -0.697
2005 2005.05229852  20.088959      0.499  5.9228e+04     0.2538    674.93   -647.47   -108.35    159.07   -5.870    3.347   -0.494
2005 2005.05230055  20.089699      0.516  3.8421e+04     0.2783    669.14   -643.20   -120.01    142.36   -5.763    3.498   -0.322
